## RECSRecommendations Upload File
## RECS''## RECS'' indicates a Recommendations pre-process header. Please do not remove these lines.
## RECS
## RECSUse this file to upload product display information to Recommendations. Each product has its own row. Each line must contain 19 values and if not all are filled a space should be left.
## RECSThe last 100 columns (entity.custom1 - entity.custom100) are custom. The name 'customN' can be replaced with a custom name such as 'onSale' or 'brand'.
## RECSIf the products already exist in Recommendations then changes uploaded here will override the data in Recommendations. Any new attributes entered here will be added to the product''s entry in Recommendations.
## RECSentity.id,entity.sku,entity.name,entity.image,entity.price,entity.type_id,entity.category,entity.thumbnail,entity.description,entity.importedFrom
MP07,MP07,Thorpe Track Pant,https://magdev11.adobedemo.com/media/catalog/product/cache/7fa649b51b890fd1480d6dfbd7897a94/m/p/mp07-blue_main_1.jpg,68,configurable,New Luma Yoga Collection,https://magdev11.adobedemo.com/media/catalog/product/cache/7fa649b51b890fd1480d6dfbd7897a94/m/p/mp07-blue_main_1.jpg,"<p>Thirty degree temps are chilly for most, except when you're in Thorpe Track Pants. These top-of-the-line track bottoms are made from fast-drying, weather-resistant fabric with an internal breathable layer of mesh nylon to wick away moisture.</p>
<p>&bull, Moisture transfer properties. <br />&bull, 7% stretch.<br />&bull, Reflective safety trim.<br />&bull, Elastic drawcord waist.</p>",https://magdev11.adobedemo.com
MP06,MP06,Mithra Warmup Pant,https://magdev11.adobedemo.com/media/catalog/product/cache/7fa649b51b890fd1480d6dfbd7897a94/m/p/mp06-gray_main_1.jpg,28,configurable,Men / Bottoms,https://magdev11.adobedemo.com/media/catalog/product/cache/7fa649b51b890fd1480d6dfbd7897a94/m/p/mp06-gray_main_1.jpg,"<p>When you're not sure you're up to the weather, don the Mithra Warmup Pant for a confidence boost. Its supersoft, stretchy fabric and fleece-like finish help prep your muscles and ease your mind. Designed for relaxed, easy-wear fit with handy ankle zips.</p>
<p>&bull, Ankle zips.<br />&bull, Elasticized waistband with draw cord.<br />&bull, Dual hand pockets.<br />&bull, Reflective elements for low-light safety.</p>",https://magdev11.adobedemo.com
MSH06,MSH06,Lono Yoga Short,https://magdev11.adobedemo.com/media/catalog/product/cache/7fa649b51b890fd1480d6dfbd7897a94/m/s/msh06-gray_main_2.jpg,32,configurable,New Luma Yoga Collection,https://magdev11.adobedemo.com/media/catalog/product/cache/7fa649b51b890fd1480d6dfbd7897a94/m/s/msh06-gray_main_2.jpg,"<p>Some shorts are &ldquo,all-purpose,&rdquo, while the Lono Yoga Short has a single purpose: yoga. Soft, flexible outer material moves with your body, and a secure, integrated boxer brief liner gives you extra confidence as you push your physique to the outer limits.</p>
<p>&bull, Dark gray shorts with mesh accents.<br />&bull, Ultra flexible four-way stretch.<br />&bull, Flatlock seams and waistband.<br />&bull, Two pockets, phony fly.<br />&bull, Nylon/Lycra outer, Polyester/Lycra inner.</p>",https://magdev11.adobedemo.com
MP05,MP05,Kratos Gym Pant,https://magdev11.adobedemo.com/media/catalog/product/cache/7fa649b51b890fd1480d6dfbd7897a94/m/p/mp05-blue_main_1.jpg,57,configurable,New Luma Yoga Collection,https://magdev11.adobedemo.com/media/catalog/product/cache/7fa649b51b890fd1480d6dfbd7897a94/m/p/mp05-blue_main_1.jpg,"<p>Like it's namesake god of strength, the Kratos Gym Pant help you bring your best to bear on weight-based, plyometric and endurance exercise. They stretch and support in all the right places while ultra-light construction and moisture-wicking technology provide comfort.</p>
<p>&bull, Navy cotton straight leg pants.<br />&bull, Relaxed fit. <br />&bull, 2 side-seam pockets. <br />&bull, Internal zip pocket. <br />&bull, Drawstring waist. <br />&bull, Machine wash/dry.</p>",https://magdev11.adobedemo.com
MP04,MP04,Supernova Sport Pant,https://magdev11.adobedemo.com/media/catalog/product/cache/7fa649b51b890fd1480d6dfbd7897a94/m/p/mp04-gray_main_1.jpg,45,configurable,Men / Bottoms,https://magdev11.adobedemo.com/media/catalog/product/cache/7fa649b51b890fd1480d6dfbd7897a94/m/p/mp04-gray_main_1.jpg,"<p>Turn the corner and open it up -- your driveway is two blocks away. The Supernova Sport Pant gets you there with key features like moisture-wicking LumaTech&trade, fabric and mesh ventilation. Side seam pockets ensure total convenience during rest periods.</p>
<p>&bull, Dark heather gray straight leg cotton pants.<br />&bull, Relaxed fit. <br />&bull, Internal drawstring. <br />&bull, Machine wash/dry.</p>",https://magdev11.adobedemo.com
MP03,MP03,Geo Insulated Jogging Pant,https://magdev11.adobedemo.com/media/catalog/product/cache/7fa649b51b890fd1480d6dfbd7897a94/m/p/mp03-black_main_1.jpg,51,configurable,New Luma Yoga Collection,https://magdev11.adobedemo.com/media/catalog/product/cache/7fa649b51b890fd1480d6dfbd7897a94/m/p/mp03-black_main_1.jpg,"<p>In the cold, even the toughest guys shiver, unless they're in the Geo Insulated Jogging Pant. Lightweight and wind resistant, they block brutal wind gusts and warm you to the bone. Breathable mesh keeps them dry on the inside.</p>
<p>&bull, Black polyester spandex pants with zipper pockets.<br>&bull, Reflective safety accents. <br>&bull, Loose fit.<br>&bull, On-seam pockets. <br>&bull, 8"" leg zips. 32"" inseam. <br>&bull, Machine wash/dry.</p>",https://magdev11.adobedemo.com
MP01,MP01,Caesar Warm-Up Pant,https://magdev11.adobedemo.com/media/catalog/product/cache/7fa649b51b890fd1480d6dfbd7897a94/m/p/mp01-gray_main_1.jpg,35,configurable,Men / Bottoms,https://magdev11.adobedemo.com/media/catalog/product/cache/7fa649b51b890fd1480d6dfbd7897a94/m/p/mp01-gray_main_1.jpg,"<p>Command your workout and keep your muscles limber in the Caesar Warm-Up Pant. Engineered CoolTech&trade, fabric wicks away moisture so you don't have to worry about sweat and discomfort. The drawstring-adjustable waist helps make sure your pants fit properly.</p>
<p>&bull, Light gray heather knit straight leg pants.<br />&bull, Relaxed fit. <br />&bull, Inseam: 32"". <br />&bull, Machine wash/dry.<br />&bull, CoolTech&trade, wicking fabric.</p>",https://magdev11.adobedemo.com
MP02,MP02,Viktor LumaTech™ Pant,https://magdev11.adobedemo.com/media/catalog/product/cache/7fa649b51b890fd1480d6dfbd7897a94/m/p/mp02-gray_main_2.jpg,46,configurable,Men / Bottoms,https://magdev11.adobedemo.com/media/catalog/product/cache/7fa649b51b890fd1480d6dfbd7897a94/m/p/mp02-gray_main_2.jpg,"<p>You'll love the new Viktor LumaTech&trade, Pant, with featherweight fleece fabric lining and stretchy, sweat-wicking material. It delivers toasty warmth on the sidelines or in cold-weather training, with reflective trim for a safe finish.</p>
<p>&bull, Dark gray polyester/spandex straight leg pants.<br />&bull, Elastic waistband and internal drawstring.<br />&bull, Relaxed fit. <br />&bull, Machine wash/dry.</p>",https://magdev11.adobedemo.com
WJ12,WJ12,Olivia 1/4 Zip Light Jacket,https://magdev11.adobedemo.com/media/catalog/product/cache/7fa649b51b890fd1480d6dfbd7897a94/w/j/wj12-blue_main_1.jpg,77,configurable,Women / Tops,https://magdev11.adobedemo.com/media/catalog/product/cache/7fa649b51b890fd1480d6dfbd7897a94/w/j/wj12-blue_main_1.jpg,"<p>Running errands or headed to the gym, you just want to be comfortable. The Olivia Light Jacket promises that, plus a laid-back look. This zip-up is designed with shoulder stripes for an athletic touch, and banded waist and contoured seams for a flattering silhouette.</p>
<p>&bull, Loose fit.</br>&bull, Reflectivity.</br>&bull, Flat seams.</br>&bull, Machine wash/dry.</p>",https://magdev11.adobedemo.com
WJ06,WJ06,Juno Jacket,https://magdev11.adobedemo.com/media/catalog/product/cache/7fa649b51b890fd1480d6dfbd7897a94/w/j/wj06-purple_main_1.jpg,77,configurable,Women / Tops,https://magdev11.adobedemo.com/media/catalog/product/cache/7fa649b51b890fd1480d6dfbd7897a94/w/j/wj06-purple_main_1.jpg,"<p>On colder-than-comfortable mornings, you'll love warming up in the Juno All-Ways Performanc Jacket, designed to compete with wind and chill. Built-in Cocona&reg, technology aids evaporation, while a special zip placket and stand-up collar keep your neck protected.</p>
<p>&bull, Adjustable hood.</br>&bull, Fleece-lined, zippered hand pockets.</br>&bull, Thumbhole cuffs.</br>&bull, Full zip.</br>&bull, Mock-neck collar.</br>&bull, Machine wash/dry.</p>",https://magdev11.adobedemo.com
WT05,WT05,Leah Yoga Top,https://magdev11.adobedemo.com/media/catalog/product/cache/7fa649b51b890fd1480d6dfbd7897a94/w/t/wt05-purple_main_2.jpg,39,configurable,Women / Tops,https://magdev11.adobedemo.com/media/catalog/product/cache/7fa649b51b890fd1480d6dfbd7897a94/w/t/wt05-purple_main_2.jpg,"<p>The Leah Yoga Top offers a practical, comfortable upper that will not compromise your style. Body hugging fit and interior shelf bra make it suitable for active or leisure pursuits.</p>
<p>&bull, Blue heather rouched tank top.<br />&bull, Camisole tank top.<br />&bull, Banding and shirring details.<br />&bull, Body hugging fit.<br />&bull, Contrast topstitch.<br />&bull, Interior shelf bra with shapewear technology.<br />&bull, 65% Polyester 35% Cotton.</p>",https://magdev11.adobedemo.com
WS12,WS12,Radiant Tee,https://magdev11.adobedemo.com/media/catalog/product/cache/7fa649b51b890fd1480d6dfbd7897a94/w/s/ws12-orange_main_2.jpg,22,configurable,Women / Tops,https://magdev11.adobedemo.com/media/catalog/product/cache/7fa649b51b890fd1480d6dfbd7897a94/w/s/ws12-orange_main_2.jpg,"<p>So light and comfy, you'll love the Radiant Tee's organic fabric, feel, performance and style. You may never want to stop moving in this shirt.</p>
<p>&bull, Salmon soft scoop neck tee.<br />&bull, Athletic, semi-form fit.<br />&bull, Flat seams prevent chafing.<br />&bull, 67% Organic Cotton / 28% Hemp / 5% Spandex.</p>",https://magdev11.adobedemo.com
WJ11,WJ11,Neve Studio Dance Jacket,https://magdev11.adobedemo.com/media/catalog/product/cache/7fa649b51b890fd1480d6dfbd7897a94/w/j/wj11-blue_main_1.jpg,69,configurable,New Luma Yoga Collection,https://magdev11.adobedemo.com/media/catalog/product/cache/7fa649b51b890fd1480d6dfbd7897a94/w/j/wj11-blue_main_1.jpg,"<p>If you're constantly on the move, the Neve Studio Dance Jacket is for you. It's not just for dance, either, with a tight fit that works as a mid-layer. The reversible design makes it even more versatile.</p>
<p>&bull, Bright blue 1/4 zip pullover.<br />&bull, CoolTech&trade, liner is sweat-wicking.<br />&bull, Sleeve thumbholes.<br />&bull, Zipper garage to protect your chin.<br />&bull, Stretchy collar drawcords.</p>",https://magdev11.adobedemo.com
WJ10,WJ10,Nadia Elements Shell,https://magdev11.adobedemo.com/media/catalog/product/cache/7fa649b51b890fd1480d6dfbd7897a94/w/j/wj10-yellow_main_2.jpg,69,configurable,New Luma Yoga Collection,https://magdev11.adobedemo.com/media/catalog/product/cache/7fa649b51b890fd1480d6dfbd7897a94/w/j/wj10-yellow_main_2.jpg,"<p>Protect yourself from wind and rain in the stylish Nadia Elements Shell. It repels water using hydro-resistant fabric, with fleece lining that adds a touch of warmth. It's finished with bold contrast zippers, adjustable cuffs and a hood.</p>
<p>&bull, Zippered front. <br />&bull, Zippered side pockets. <br />&bull, Drawstring-adjustable waist and hood. <br />&bull, Machine wash/line dry.<br />&bull, Light blue 1/4 zip pullover.</p>",https://magdev11.adobedemo.com
WJ09,WJ09,Jade Yoga Jacket,https://magdev11.adobedemo.com/media/catalog/product/cache/7fa649b51b890fd1480d6dfbd7897a94/w/j/wj09-green_main_1.jpg,32,configurable,Women / Tops,https://magdev11.adobedemo.com/media/catalog/product/cache/7fa649b51b890fd1480d6dfbd7897a94/w/j/wj09-green_main_1.jpg,"<p><br />If only all your other jackets were as comfortable as the relaxed-fit Jade Yoga Jacket, perfect for use during stretching, biking to and from studio or strolling on breezy fall days.</p>
<p>&bull, Seafoam 1/4 zip pullover with purple stitching.<br />&bull, Lightweight, quick-drying, water-resistant construction.<br />&bull, Shirred details at front and back for a feminine look.<br />&bull, Hood collapses into collar.<br />&bull, Mesh liner for breathability.<br />&bull, Front zip pockets.<br />&bull, Hem cinches at sideseam.<br />&bull, 100% Polyester.</p>",https://magdev11.adobedemo.com
WJ08,WJ08,Adrienne Trek Jacket,https://magdev11.adobedemo.com/media/catalog/product/cache/7fa649b51b890fd1480d6dfbd7897a94/w/j/wj08-gray_main_1.jpg,57,configurable,Women / Tops,https://magdev11.adobedemo.com/media/catalog/product/cache/7fa649b51b890fd1480d6dfbd7897a94/w/j/wj08-gray_main_1.jpg,"<p>You're ready for a cross-country jog or a coffee on the patio in the Adrienne Trek Jacket. Its style is unique with stand collar and drawstrings, and it fits like a jacket should.</p>
<p>&bull, gray 1/4 zip pullover.<br>&bull, Comfortable, relaxed fit.<br>&bull, Front zip for venting.<br>&bull, Spacious, kangaroo pockets.<br>&bull, 27"" body length.<br>&bull, 95% Organic Cotton / 5% Spandex.</p>",https://magdev11.adobedemo.com
WS08,WS08,Minerva LumaTech™ V-Tee,https://magdev11.adobedemo.com/media/catalog/product/cache/7fa649b51b890fd1480d6dfbd7897a94/w/s/ws08-blue_main_1.jpg,32,configurable,Women / Tops,https://magdev11.adobedemo.com/media/catalog/product/cache/7fa649b51b890fd1480d6dfbd7897a94/w/s/ws08-blue_main_1.jpg,"<p>Don't be fooled by the simple design of our Minerva LumaTech&trade, V-Neck Tee. This classic training top features the same serious sweat-wicking technology as some of the more expensive tees in our lineup.</p>
<p>&bull, Navy blue heather soft v-neck tee.<br />&bull, Flatlock seams for chafe-free comfort.<br />&bull, Relaxed cut.<br />&bull, Ultra-lightweight fabric.<br />&bull, Machine wash/dry.</p>",https://magdev11.adobedemo.com
WJ07,WJ07,Inez Full Zip Jacket,https://magdev11.adobedemo.com/media/catalog/product/cache/7fa649b51b890fd1480d6dfbd7897a94/w/j/wj07-purple_main_1.jpg,59,configurable,Women / Tops,https://magdev11.adobedemo.com/media/catalog/product/cache/7fa649b51b890fd1480d6dfbd7897a94/w/j/wj07-purple_main_1.jpg,"<p>The Inez Full Zip jacket is more than a cute layer. It's a full-on tech wonder you'll use for outdoor, pre and post workout. You'll love how the highlighted zipper and sleeve safety trim protect and catch looks.</p>
<p>&bull, Purple heather inset full zip jacket.<br />&bull, Full zip hoodie.<br />&bull, Contrast binding along the zipper, hood and sleeves.<br />&bull, Inseam pockets for storage.<br />&bull, Thumbholes for comfortable fit.</p>",https://magdev11.adobedemo.com
WJ05,WJ05,Riona Full Zip Jacket,https://magdev11.adobedemo.com/media/catalog/product/cache/7fa649b51b890fd1480d6dfbd7897a94/w/j/wj05-brown_main_1.jpg,60,configurable,Women / Tops,https://magdev11.adobedemo.com/media/catalog/product/cache/7fa649b51b890fd1480d6dfbd7897a94/w/j/wj05-brown_main_1.jpg,"<p>The Riona Basic Zip Jacket makes the perfect extra layer for cold-weather workouts. It features amazing breathability and moisture management, but full-length zipper lets you moderate your core temperature even more.</p>
<p>&bull, Brown heather full zip rouched jacket.<br />&bull, Side hand pockets for extra storage.<br />&bull, High collar.<br />&bull, Thick cuffs for extra coverage.<br />&bull, Durable, shape retention material to longer wear.</p>",https://magdev11.adobedemo.com
WB04,WB04,Prima Compete Bra Top,https://magdev11.adobedemo.com/media/catalog/product/cache/7fa649b51b890fd1480d6dfbd7897a94/w/b/wb04-blue_main_2.jpg,24,configurable,Women / Tops,https://magdev11.adobedemo.com/media/catalog/product/cache/7fa649b51b890fd1480d6dfbd7897a94/w/b/wb04-blue_main_2.jpg,"<p>Pull on the Prima Compete Bra Top and you'll love the fabric: soft, stretchy, and ultra lightweight. But you'll also love the racerback cut, for freer movement through all your athletic feats. <br />`<br />&bull, Colorblocked details.<br />&bull, Machine wash/line dry.</p>",https://magdev11.adobedemo.com
WS06,WS06,Elisa EverCool™ Tee,https://magdev11.adobedemo.com/media/catalog/product/cache/7fa649b51b890fd1480d6dfbd7897a94/w/s/ws06-purple_main_2.jpg,29,configurable,New Luma Yoga Collection,https://magdev11.adobedemo.com/media/catalog/product/cache/7fa649b51b890fd1480d6dfbd7897a94/w/s/ws06-purple_main_2.jpg,"<p>When rising temps threaten to melt you down, Elisa EverCool&trade, Tee brings serious relief. Moisture-wicking fabric pulls sweat away from your skin, while the innovative seams hug your muscles to enhance your range of motion.</p>
<p>&bull, Purple heather v-neck tee.<br />&bull, Short-Sleeves.<br />&bull, Luma EverCool&trade, fabric. <br />&bull, Machine wash/line dry.</p>",https://magdev11.adobedemo.com
WJ04,WJ04,Ingrid Running Jacket,https://magdev11.adobedemo.com/media/catalog/product/cache/7fa649b51b890fd1480d6dfbd7897a94/w/j/wj04-white_main_1.jpg,84,configurable,New Luma Yoga Collection,https://magdev11.adobedemo.com/media/catalog/product/cache/7fa649b51b890fd1480d6dfbd7897a94/w/j/wj04-white_main_1.jpg,"<p>The Ingrid Running Jacket combines sleek design and high performance with slim, contoured fit and moisture-wicking fabric. It features a full-zip construction and a collared neck to keep the elements out and body heat in. <br />&bull, Slim fit. <br />&bull, Moisture-wicking fabric. <br />&bull, Two side pockets. <br />&bull, Zippered pocket at back waist. <br />&bull, Machine wash/dry.<br />&bull, Ivory specked full zip</p>",https://magdev11.adobedemo.com
WJ03,WJ03,Augusta Pullover Jacket,https://magdev11.adobedemo.com/media/catalog/product/cache/7fa649b51b890fd1480d6dfbd7897a94/w/j/wj03-red_main_2.jpg,57,configurable,Women / Tops,https://magdev11.adobedemo.com/media/catalog/product/cache/7fa649b51b890fd1480d6dfbd7897a94/w/j/wj03-red_main_2.jpg,"<p>It's hard to be uncomfortable in the Augusta Pullover Jacket with &frac14, zip. With an incredibly soft fleece lining and textured outer fabric, it offers reliable protection from the elements and a cozy fit as well.</p>
<p>&bull, Pink half-zip pullover. <br />&bull, Front pouch pockets. <br />&bull, Fold-down collar.</p>",https://magdev11.adobedemo.com
WS03,WS03,Iris Workout Top,https://magdev11.adobedemo.com/media/catalog/product/cache/7fa649b51b890fd1480d6dfbd7897a94/w/s/ws03-red_main_1.jpg,29,configurable,Women / Tops,https://magdev11.adobedemo.com/media/catalog/product/cache/7fa649b51b890fd1480d6dfbd7897a94/w/s/ws03-red_main_1.jpg,"<p>The Iris Workout Top is sleeveless, body fitting and moisture wicking for a fashionable, functional garment. Rouched textures add style.</p>
<p>&bull, Pink heather rouched v-neck.<br />&bull, Scoop neckline.<br />&bull, Angled flat seams.<br />&bull, Moisture wicking.<br />&bull, Body skimming.<br />&bull, 83% Polyester / 11% TENCEL&reg, Lyocell / 6% Lycra&reg, Spandex.</p>",https://magdev11.adobedemo.com
WH02,WH02,Hera Pullover Hoodie,https://magdev11.adobedemo.com/media/catalog/product/cache/7fa649b51b890fd1480d6dfbd7897a94/w/h/wh02-blue_main_2.jpg,48,configurable,Women / Tops,https://magdev11.adobedemo.com/media/catalog/product/cache/7fa649b51b890fd1480d6dfbd7897a94/w/h/wh02-blue_main_2.jpg,"<p>Get ready to rule the studio and dominate the yoga mat in the Hera Pullover Hoodie, a cozy yet classy look for any level of yogi.</p>
<p>&bull, Teal with purple stiching.<br />&bull, Hoodie pullover.<br />&bull, Snug fit.</p>",https://magdev11.adobedemo.com
WJ02,WJ02,Josie Yoga Jacket,https://magdev11.adobedemo.com/media/catalog/product/cache/7fa649b51b890fd1480d6dfbd7897a94/w/j/wj02-gray_main_1.jpg,56.25,configurable,Women / Tops,https://magdev11.adobedemo.com/media/catalog/product/cache/7fa649b51b890fd1480d6dfbd7897a94/w/j/wj02-gray_main_1.jpg,"<p>When your near future includes yoga, the cozy comfort of the Josie Yoga Jacket gets your mind and body ready. Stretchy CoolTech&trade, fabric with zipper pockets makes this jacket the right gear for studio time or teatime after.</p>
<p>&bull, Slate rouched neck pullover.<br />&bull, Moisture-wicking fabric.<br />&bull, Hidden zipper.<br />&bull, Mesh armpit venting.<br />&bull, Dropped rear hem.</p>",https://magdev11.adobedemo.com
